X[s],R TRICEPS BRACHII: EMG 6,X[s],R TRICEPS BRACHII: EMG 6->filter (FilterSlidingRMS27)
0.4375588,8.39E-07,0.4375588,1.54E-05
0.4383529,6.88E-06,0.4383529,1.54E-05
0.4391471,1.19E-05,0.4391471,1.54E-05
0.4399412,2.18E-05,0.4399412,1.54E-05
0.4407353,2.85E-05,0.4407353,1.54E-05
0.4415294,3.07E-05,0.4415294,1.55E-05
0.4423235,3.02E-05,0.4423235,1.56E-05
0.4431176,2.43E-05,0.4431176,1.57E-05
0.4439118,1.59E-05,0.4439118,1.57E-05
0.4447059,3.02E-06,0.4447059,1.57E-05
0.4455,-1.33E-05,0.4455,1.57E-05
0.4462941,-1.58E-05,0.4462941,1.58E-05
0.4470882,-1.59E-05,0.4470882,1.58E-05
0.4478824,-1.17E-05,0.4478824,1.58E-05
0.4486765,-8.22E-06,0.4486765,1.58E-05
0.4494706,-3.19E-06,0.4494706,1.58E-05
0.4502647,4.53E-06,0.4502647,1.58E-05
0.4510588,4.20E-06,0.4510588,1.57E-05
0.4518529,2.52E-06,0.4518529,1.56E-05
0.4526471,5.20E-06,0.4526471,1.56E-05
0.4534412,7.89E-06,0.4534412,1.56E-05
0.4542353,8.22E-06,0.4542353,1.56E-05
0.4550294,5.20E-06,0.4550294,1.56E-05
0.4558235,-1.68E-07,0.4558235,1.55E-05
0.4566177,-3.86E-06,0.4566177,1.55E-05
0.4574118,-1.90E-05,0.4574118,1.54E-05
0.4582059,-3.04E-05,0.4582059,1.55E-05
0.459,-3.44E-05,0.459,1.56E-05
0.4597941,-3.68E-05,0.4597941,1.57E-05
0.4605882,-4.15E-05,0.4605882,1.58E-05
0.4613824,-4.68E-05,0.4613824,1.60E-05
0.4621765,-3.71E-05,0.4621765,1.62E-05
0.4629706,-3.04E-05,0.4629706,1.63E-05
0.4637647,-3.54E-05,0.4637647,1.64E-05
0.4645588,-2.84E-05,0.4645588,1.65E-05
0.4653529,-1.90E-05,0.4653529,1.66E-05
0.4661471,-1.66E-05,0.4661471,1.66E-05
0.4669412,-1.36E-05,0.4669412,1.66E-05
0.4677353,-1.29E-05,0.4677353,1.66E-05
0.4685294,-1.09E-05,0.4685294,1.67E-05
0.4693235,-8.39E-06,0.4693235,1.67E-05
0.4701176,-9.23E-06,0.4701176,1.67E-05
0.4709118,-1.36E-05,0.4709118,1.67E-05
0.4717059,-2.03E-05,0.4717059,1.67E-05
0.4725,-3.11E-05,0.4725,1.67E-05
0.4732941,-4.28E-05,0.4732941,1.68E-05
0.4740882,-4.13E-05,0.4740882,1.70E-05
0.4748823,-3.14E-05,0.4748823,1.71E-05
0.4756765,-2.58E-05,0.4756765,1.72E-05
0.4764706,-1.83E-05,0.4764706,1.72E-05
0.4772647,-8.90E-06,0.4772647,1.71E-05
0.4780588,-9.74E-06,0.4780588,1.71E-05
0.4788529,-2.20E-05,0.4788529,1.70E-05
