X[s],"R BICEPS BRACHII: EMG 5",X[s],"R BICEPS BRACHII: EMG 5->filter (FilterSlidingRMS21)"
0.4129412,-4.246586E-05,0.4129412,3.349298E-05
0.4137353,-4.179446E-05,0.4137353,3.354853E-05
0.4145294,-3.30663E-05,0.4145294,3.3614E-05
0.4153235,-9.231709E-06,0.4153235,3.364933E-05
0.4161176,1.05745E-05,0.4161176,3.362833E-05
0.4169118,2.047761E-05,0.4169118,3.36048E-05
0.4177059,2.635233E-05,0.4177059,3.359006E-05
0.4185,1.460288E-05,0.4185,3.357627E-05
0.4192941,8.392462E-07,0.4192941,3.355174E-05
0.4200882,-9.567407E-06,0.4200882,3.354425E-05
0.4208823,-1.863127E-05,0.4208823,3.354853E-05
0.4216765,-3.608759E-05,0.4216765,3.355666E-05
0.4224706,-5.203327E-05,0.4224706,3.360479E-05
0.4232647,-7.603571E-05,0.4232647,3.372277E-05
0.4240588,-0.0001070878,0.4240588,3.398942E-05
0.4248529,-0.000115816,0.4248529,3.45202E-05
0.4256471,-7.67071E-05,0.4256471,3.513287E-05
0.4264412,-3.860533E-06,0.4264412,3.539855E-05
0.4272353,8.577096E-05,0.4272353,3.539921E-05
0.4280294,0.0001451896,0.4280294,3.572794E-05
0.4288235,0.0001542535,0.4288235,3.665086E-05
0.4296176,0.0001166552,0.4296176,3.766144E-05
0.4304118,5.891508E-05,0.4304118,3.821046E-05
0.4312059,1.829557E-05,0.4312059,3.833351E-05
0.432,-5.539025E-06,0.432,3.8333E-05
0.4327941,-1.963836E-05,0.4327941,3.832393E-05
0.4335882,-2.635233E-05,0.4335882,3.833691E-05
0.4343823,-1.594568E-05,0.4343823,3.836405E-05
0.4351765,-8.224612E-06,0.4351765,3.83744E-05
0.4359706,-7.553216E-06,0.4359706,3.837525E-05
0.4367647,-1.426719E-05,0.4367647,3.836793E-05
0.4375588,-2.534523E-05,0.4375588,3.8363E-05
0.4383529,-2.568093E-05,0.4383529,3.838039E-05
0.4391471,-1.812772E-05,0.4391471,3.840045E-05
0.4399412,-1.560998E-05,0.4399412,3.841239E-05
0.4407353,-1.896696E-05,0.4407353,3.842232E-05
0.4415294,-2.836652E-05,0.4415294,3.843656E-05
0.4423235,-3.038071E-05,0.4423235,3.846464E-05
0.4431176,-3.088426E-05,0.4431176,3.849187E-05
0.4439118,-3.038071E-05,0.4439118,3.850475E-05
0.4447059,-3.3402E-05,0.4447059,3.849538E-05
0.4455,-2.987716E-05,0.4455,3.850584E-05
0.4462941,-2.349889E-05,0.4462941,3.853352E-05
0.4470882,-2.1149E-05,0.4470882,3.85563E-05
0.4478824,-9.231709E-06,0.4478824,3.85689E-05
0.4486765,3.189136E-06,0.4486765,3.856823E-05
0.4494706,1.510643E-06,0.4494706,3.856864E-05
0.4502647,5.035477E-07,0.4502647,3.856521E-05
0.4510588,3.692683E-06,0.4510588,3.855239E-05
0.4518529,7.217518E-06,0.4518529,3.852746E-05
0.4526471,9.231709E-06,0.4526471,3.849866E-05
0.4534412,5.539025E-06,0.4534412,3.847007E-05
0.4542353,-1.174945E-06,0.4542353,3.845311E-05
0.4550294,8.392462E-07,0.4550294,3.843931E-05
0.4558235,5.203327E-06,0.4558235,3.842902E-05
0.4566177,2.517739E-06,0.4566177,3.842635E-05
0.4574118,-2.853437E-06,0.4574118,3.84261E-05
